node,degree,z_score
ru,2991,92.32
"""Red Notice - participation in the activity of a terrorist organization; participation in the activity of an illegal armed formation""",152,4.61
Red Notice - Participation in illegal armed formation,238,7.27
ua,77,2.29
Red Notice - participation in illegal armed formation,306,9.37
Red Notice - participation in an illegal armed formation,171,5.2
ge,78,2.32
Red Notice - participation in the activity of an illegal armed formation,126,3.81
Red Notice - Participation in illegal armed formation.,213,6.5
ar,226,6.9
sv,846,26.05
Red Notice - Participation in an illegal armed formation,125,3.78
us,101,3.03
pk,169,5.14
Red Notice - ORGANIZACIONES TERRORISTAS,209,6.37
in,219,6.68
Red Notice - participation in the activity of a terrorist organization,80,2.39
az,86,2.57
Red Notice - Murder,233,7.11
br,73,2.17
gt,147,4.46
ba,73,2.17
py,73,2.17
bo,126,3.81
