name,pagerank,degree
ru,0.07999497629306368,2991
sv,0.02359903887422212,846
Red Notice - participation in illegal armed formation,0.00834962922921102,306
Red Notice - Participation in illegal armed formation,0.006497846504750723,238
Red Notice - Murder,0.006386486450250145,233
ar,0.006263990390299512,226
in,0.006004150263131502,219
Red Notice - ORGANIZACIONES TERRORISTAS,0.005883510204089209,209
Red Notice - Participation in illegal armed formation.,0.005851452006581466,213
Red Notice - participation in an illegal armed formation,0.0047327896409165866,171
